,Year,Month,CHL
0,1997,9,-0.18198988
1,1997,10,-0.09956333
2,1997,11,-0.13113931
3,1997,12,-0.11609812
4,1998,1,-0.14728665
5,1998,2,-0.1177277
6,1998,3,-0.107708186
7,1998,4,-0.14427617
8,1998,5,-0.1855365
9,1998,6,-0.10999113
10,1998,7,-0.021757632
11,1998,8,-0.10768017
12,1998,9,-0.09054971
13,1998,10,-0.15360472
14,1998,11,-0.10280225
15,1998,12,-0.061035216
16,1999,1,-0.12410587
17,1999,2,-0.093961865
18,1999,3,-0.10540429
19,1999,4,-0.0442532
20,1999,5,-0.027095199
21,1999,6,0.03225255
22,1999,7,0.0028268099
23,1999,8,0.018476129
24,1999,9,0.08526865
25,1999,10,-0.009436965
26,1999,11,-0.10066897
27,1999,12,-0.074932724
28,2000,1,-0.111008346
29,2000,2,-0.105680615
30,2000,3,-0.059785843
31,2000,4,-0.095684946
32,2000,5,-0.08168188
33,2000,6,-0.033801943
34,2000,7,-0.032790154
35,2000,8,0.013198167
36,2000,9,-0.031810194
37,2000,10,-0.032470286
38,2000,11,-0.053486913
39,2000,12,-0.09387539
40,2001,1,-0.120556444
41,2001,2,-0.06726962
42,2001,3,-0.07173678
43,2001,4,0.0028425455
44,2001,5,-0.04497412
45,2001,6,-0.027263016
46,2001,7,-0.060925156
47,2001,8,-0.05228129
48,2001,9,-0.007470727
49,2001,10,-0.011699855
50,2001,11,-0.083930165
51,2001,12,-0.09701136
52,2002,1,-0.090946406
53,2002,2,-0.04668209
54,2002,3,0.0046869516
55,2002,4,0.07398155
56,2002,5,0.17609164
57,2002,6,0.07099199
58,2002,7,0.14977103
59,2002,8,0.12050575
60,2002,9,0.12499729
61,2002,10,0.21662548
62,2002,11,0.14925799
63,2002,12,0.0015490651
64,2003,1,0.015660435
65,2003,2,0.11554727
66,2003,3,0.089791834
67,2003,4,0.118697315
68,2003,5,0.07971254
69,2003,6,0.09582496
70,2003,7,0.054654896
71,2003,8,0.033364475
72,2003,9,0.08744076
73,2003,10,0.010161072
74,2003,11,0.016177773
75,2003,12,0.025915205
76,2004,1,0.071879655
77,2004,2,0.09631765
78,2004,3,0.119532615
79,2004,4,0.05153358
80,2004,5,0.02325648
81,2004,6,0.010246992
82,2004,7,-0.02055949
83,2004,8,0.051494062
84,2004,9,0.08831665
85,2004,10,0.046509236
86,2004,11,0.0024945438
87,2004,12,0.035508096
88,2005,1,-0.014145017
89,2005,2,0.07459304
90,2005,3,-0.036462665
91,2005,4,0.019466162
92,2005,5,-0.057273597
93,2005,6,-0.014127225
94,2005,7,0.17805141
95,2005,8,0.100948036
96,2005,9,0.13363126
97,2005,10,0.078517616
98,2005,11,0.07864839
99,2005,12,-0.02053693
100,2006,1,0.01222232
101,2006,2,-0.026458919
102,2006,3,0.076909184
103,2006,4,0.078376144
104,2006,5,0.06315914
105,2006,6,0.07803172
106,2006,7,0.016634822
107,2006,8,0.109368384
108,2006,9,0.055805564
109,2006,10,0.08109006
110,2006,11,0.01679647
111,2006,12,-0.06350547
112,2007,1,-0.035677254
113,2007,2,0.08660892
114,2007,3,0.072687805
115,2007,4,0.099939555
116,2007,5,0.12341097
117,2007,6,0.21871251
118,2007,7,0.074557364
119,2007,8,0.12991971
120,2007,9,0.13763544
121,2007,10,0.084006816
122,2007,11,0.052912652
123,2007,12,-0.02310139
124,2008,1,0.03284946
125,2008,2,0.073927104
126,2008,3,0.10784587
127,2008,4,0.104405075
128,2008,5,0.2587503
129,2008,6,0.21915251
130,2008,7,0.11984563
131,2008,8,0.094989896
132,2008,9,0.16713414
133,2008,10,0.02427414
134,2008,11,0.046975017
135,2008,12,0.024718642
136,2009,1,0.018919855
137,2009,2,0.034443557
138,2009,3,0.019395769
139,2009,4,0.09759191
140,2009,5,0.117118806
141,2009,6,-0.04896605
142,2009,7,0.021763861
143,2009,8,-0.0014404058
144,2009,9,-0.031332046
145,2009,10,0.14813223
146,2009,11,0.14693198
147,2009,12,0.33784986
148,2010,1,0.105401725
149,2010,2,0.006331593
150,2010,3,-0.021944731
151,2010,4,-0.048230946
152,2010,5,0.010382116
153,2010,6,-0.017332524
154,2010,7,0.109240174
155,2010,8,0.103594124
156,2010,9,0.07148853
157,2010,10,0.053239077
158,2010,11,0.20610127
159,2010,12,0.20379764
160,2011,1,0.3896103
161,2011,2,0.08569065
162,2011,3,0.013441324
163,2011,4,0.062962264
164,2011,5,-0.0052280724
165,2011,6,-0.027716428
166,2011,7,-0.031924248
167,2011,8,0.002331704
168,2011,9,0.06028387
169,2011,10,0.03429705
170,2011,11,0.065668285
171,2011,12,0.086181134
172,2012,1,0.13940006
173,2012,2,0.07243028
174,2012,3,0.041846603
175,2012,4,0.04021281
176,2012,5,0.015912473
177,2012,6,-0.028268963
178,2012,7,0.036935568
179,2012,8,0.02228403
180,2012,9,0.028549433
181,2012,10,-0.023787469
182,2012,11,0.015803128
183,2012,12,0.0440796
184,2013,1,0.06794411
185,2013,2,0.056709945
186,2013,3,0.059280932
187,2013,4,0.08280191
188,2013,5,0.08223036
189,2013,6,0.031556726
190,2013,7,0.05990076
191,2013,8,-0.04118198
192,2013,9,-0.05517724
193,2013,10,-0.0011304319
194,2013,11,0.097301275
195,2013,12,0.03535959
196,2014,1,0.04540178
197,2014,2,0.026491404
198,2014,3,0.028037667
199,2014,4,-0.007453829
200,2014,5,-0.075796604
201,2014,6,0.07221991
202,2014,7,-0.06891388
203,2014,8,-0.06380081
204,2014,9,-0.09571692
205,2014,10,-0.11527467
206,2014,11,-0.13560978
207,2014,12,-0.059787124
208,2015,1,-0.05712682
209,2015,2,-0.06266385
210,2015,3,-0.116205126
211,2015,4,-0.067337126
212,2015,5,-0.075148374
213,2015,6,-0.12679207
214,2015,7,-0.19077504
215,2015,8,-0.20436537
216,2015,9,-0.17776415
217,2015,10,-0.18382294
218,2015,11,-0.11521816
219,2015,12,-0.067394525
220,2016,1,-0.062212795
221,2016,2,-0.12007785
222,2016,3,-0.06943756
223,2016,4,-0.118104875
224,2016,5,-0.09571126
225,2016,6,-0.12609729
226,2016,7,-0.062075227
227,2016,8,0.04826659
228,2016,9,-0.099930614
229,2016,10,-0.09010884
230,2016,11,-0.08710334
231,2016,12,-0.04817924
232,2017,1,-0.073565274
233,2017,2,-0.058575004
234,2017,3,-0.0121355355
235,2017,4,-0.043970883
236,2017,5,-0.022381753
237,2017,6,-0.08656037
238,2017,7,-0.08231172
239,2017,8,-0.12693635
240,2017,9,-0.13486874
241,2017,10,-0.05782652
242,2017,11,-0.0867514
243,2017,12,-0.12014164
244,2018,1,-0.035188645
245,2018,2,-0.049563885
246,2018,3,0.0074792802
247,2018,4,-0.12534207
248,2018,5,-0.12547606
249,2018,6,-0.11751798
250,2018,7,-0.066488504
251,2018,8,-0.08352971
252,2018,9,0.0033269227
253,2018,10,0.0018741786
254,2018,11,0.0016427636
255,2018,12,0.050640076
256,2019,1,-0.02747044
257,2019,2,0.019570708
258,2019,3,-0.04011491
259,2019,4,-0.13815555
260,2019,5,-0.15372112
261,2019,6,-0.064555466
262,2019,7,-0.18566114
263,2019,8,-0.16752452
264,2019,9,-0.13726777
